img,true_label,predicted_class,x,y,r_attack,g_attack,b_attack,r_original,g_original,b_original
a_97.png,5,3,23,21,20,0,46,210,152,93
a_98.png,1,0,16,13,14,1,14,169,170,168
a_99.png,9,1,19,13,9,70,248,251,252,247
a_100.png,8,0,9,22,0,0,35,176,163,180
a_101.png,0,1,4,21,122,68,24,253,253,253
a_102.png,8,1,22,10,255,228,198,13,8,8
a_103.png,5,6,20,9,39,13,23,219,190,151
a_104.png,8,9,25,21,149,255,251,16,25,28
a_105.png,0,1,6,7,3,4,86,217,231,246
a_106.png,8,1,27,16,224,247,255,49,31,40
a_107.png,8,0,12,3,78,61,0,213,252,241
a_108.png,5,6,4,17,163,255,255,122,93,79
a_109.png,0,7,2,7,0,0,100,235,239,237
a_110.png,4,2,30,21,2,0,45,201,193,161
a_111.png,4,6,19,24,17,37,101,161,165,125
a_112.png,3,5,6,27,0,106,75,196,193,188
a_113.png,6,9,28,6,245,251,253,92,83,87
a_114.png,7,0,7,10,148,244,235,27,18,27
a_115.png,3,1,13,25,0,10,0,245,195,145
a_116.png,8,0,13,5,255,211,245,36,36,41
a_117.png,8,0,22,19,196,109,244,23,43,60
a_118.png,8,9,26,20,182,255,218,7,6,21
a_119.png,3,5,10,12,225,240,255,94,80,64
a_120.png,2,0,14,17,186,233,222,64,60,65
a_121.png,3,9,4,12,0,29,33,255,255,255
a_122.png,8,0,28,9,234,192,247,106,95,99
a_123.png,7,1,12,21,0,185,0,223,223,226
a_124.png,4,7,26,22,8,31,5,142,145,148
a_125.png,8,6,10,25,0,0,0,186,184,187
a_126.png,3,9,7,19,220,199,217,45,39,31
a_127.png,9,1,8,10,229,251,236,26,51,64
a_128.png,9,1,11,18,120,85,0,171,170,165
a_129.png,9,1,18,13,227,254,154,94,20,37
a_130.png,8,1,22,18,234,159,186,75,13,12
a_131.png,2,5,22,4,118,84,0,255,255,255
a_132.png,8,0,23,23,25,22,99,202,201,196
a_133.png,6,1,18,17,33,4,141,196,190,187
a_134.png,4,7,8,27,20,186,53,169,169,169
a_135.png,8,1,26,24,3,18,57,91,138,141
a_136.png,4,0,14,11,18,63,14,178,162,144
a_137.png,5,1,18,22,7,51,57,218,226,208
a_138.png,0,8,9,20,17,1,129,143,183,200
a_139.png,9,1,17,17,81,198,255,155,85,73
a_140.png,6,0,14,28,255,174,196,58,37,22
a_141.png,2,1,20,16,0,0,202,234,233,232
a_142.png,0,1,9,7,0,0,255,246,247,247
a_143.png,6,1,16,18,9,6,0,177,161,159
a_144.png,4,0,30,23,45,243,255,119,141,88
a_145.png,6,9,21,22,166,209,190,131,108,106
a_146.png,9,0,30,22,243,244,253,15,10,11
a_147.png,8,0,12,6,0,48,16,243,250,251
a_148.png,0,1,6,7,77,17,45,223,219,207
a_149.png,8,0,6,16,0,2,46,236,240,246
a_150.png,2,0,6,10,7,4,29,202,218,162
a_151.png,5,7,7,16,64,13,2,183,183,180
a_152.png,9,1,8,10,243,221,243,113,157,164
a_153.png,0,2,31,8,31,27,95,162,182,193
a_154.png,5,2,16,23,252,251,250,43,54,45
a_155.png,0,1,19,26,187,251,255,122,107,66
a_156.png,8,9,28,5,0,0,111,247,250,254
a_157.png,0,1,22,11,255,214,227,29,32,32
a_158.png,3,5,19,24,255,173,254,51,45,65
a_159.png,6,1,6,11,21,33,19,244,242,227
a_160.png,3,9,4,23,56,0,0,195,202,205
a_161.png,6,2,14,21,245,225,185,36,54,105
a_162.png,8,0,8,23,0,0,5,199,215,229
a_163.png,8,1,22,20,22,8,69,251,246,233
a_164.png,8,0,15,6,206,255,241,29,39,59
a_165.png,0,8,21,12,245,15,249,45,48,42
a_166.png,7,9,15,8,37,24,80,218,238,235
a_167.png,9,1,9,19,70,35,113,174,183,190
a_168.png,0,9,22,5,22,21,19,193,193,193
a_169.png,8,1,17,12,61,41,149,150,151,174
a_170.png,8,1,26,21,78,25,85,210,203,188
a_171.png,5,1,4,27,197,0,0,179,187,207
a_172.png,0,2,29,10,5,16,83,240,236,240
a_173.png,0,9,23,7,228,185,205,48,74,99
a_174.png,2,0,8,3,21,2,0,169,234,242
a_175.png,8,0,24,18,0,9,147,239,240,234
a_176.png,8,1,13,7,71,29,34,208,210,215
a_177.png,5,0,25,10,51,8,88,176,174,175
a_178.png,8,0,26,19,0,2,145,134,133,130
a_179.png,8,1,21,9,0,0,130,218,220,215
a_180.png,8,0,26,20,229,242,241,45,71,116
a_181.png,8,1,29,17,251,255,238,23,15,17
a_182.png,8,1,20,21,0,0,36,227,226,193
a_183.png,9,0,9,15,225,180,170,97,77,71
a_184.png,5,1,13,22,158,225,255,77,71,80
a_185.png,8,1,8,9,59,79,8,132,162,202
a_186.png,2,0,4,17,0,31,162,192,207,177
a_187.png,3,0,25,19,59,245,255,41,33,25
a_188.png,0,7,1,22,76,18,52,222,231,239
a_189.png,9,1,17,17,21,34,8,155,153,165
a_190.png,9,1,13,21,1,26,67,210,212,199
a_191.png,1,9,15,13,229,251,156,21,22,36
a_192.png,8,1,9,29,166,0,0,206,213,210
a_193.png,9,1,4,6,51,17,64,195,216,221
a_194.png,9,1,3,6,7,40,72,207,210,224
a_195.png,6,1,20,26,57,255,255,43,44,29
a_196.png,1,9,29,6,76,0,60,162,166,162
a_197.png,7,1,18,27,30,94,65,208,250,255
a_198.png,1,9,24,24,21,74,171,219,222,229
a_199.png,7,1,14,27,24,62,61,179,148,127
a_200.png,8,1,25,16,69,11,71,124,141,176
a_201.png,8,9,22,8,0,0,67,230,229,233
a_202.png,8,0,10,3,146,52,66,174,219,234
a_203.png,7,0,19,17,246,186,179,26,21,30
a_204.png,0,2,25,9,42,0,239,227,232,229
a_205.png,8,0,20,15,10,0,0,173,178,168
a_206.png,3,9,1,17,6,37,0,217,199,188
a_207.png,7,9,22,23,12,16,25,107,153,150
a_208.png,2,0,6,18,5,5,155,196,207,158
a_209.png,6,0,12,27,234,255,237,45,49,50
a_210.png,8,1,10,5,50,3,158,101,114,133
a_211.png,9,1,9,7,20,81,11,216,230,252
a_212.png,8,9,23,10,42,85,1,215,192,180
a_213.png,9,1,6,11,12,13,12,227,232,233
a_214.png,0,1,21,5,0,12,51,159,200,41
a_215.png,0,9,6,19,1,21,5,89,135,169
a_216.png,7,9,22,7,14,60,118,238,218,208
a_217.png,8,1,22,21,0,0,206,246,243,243
a_218.png,9,1,14,13,16,65,27,154,160,167
a_219.png,2,0,4,13,0,6,78,250,246,239
a_220.png,3,9,20,12,49,0,0,186,186,186
a_221.png,0,9,2,11,103,12,25,222,248,249
a_222.png,3,0,3,3,61,8,126,185,193,178
a_223.png,3,9,17,24,254,160,177,59,43,20
a_224.png,5,3,26,27,81,93,104,228,230,224
a_225.png,8,1,20,29,81,48,99,194,191,186
a_226.png,3,9,22,22,199,223,252,44,36,34
a_227.png,8,9,12,19,23,16,189,214,193,187
a_228.png,2,8,10,16,4,23,59,119,149,215
a_229.png,0,1,3,7,0,0,39,133,170,221
a_230.png,0,1,2,13,2,0,2,166,240,239
a_231.png,0,1,8,7,94,71,0,174,172,202
a_232.png,0,2,4,5,136,255,255,157,169,201
a_233.png,8,1,19,14,0,255,224,4,5,5
a_234.png,2,0,11,26,0,5,30,173,186,181
a_235.png,4,5,27,22,33,9,0,144,205,141
a_236.png,9,8,4,27,0,89,0,161,180,201
a_237.png,2,1,26,10,47,21,0,188,191,173
a_238.png,5,0,20,18,241,150,248,86,55,60
a_239.png,8,9,6,9,7,22,3,252,253,239
a_240.png,8,5,10,18,85,7,160,247,247,250
a_241.png,0,1,19,16,213,55,255,134,66,25
a_242.png,8,1,22,18,0,87,204,196,208,211
a_243.png,7,1,21,13,0,0,222,132,151,148
a_244.png,0,1,26,20,58,62,25,234,206,184
a_245.png,3,0,3,16,64,54,57,252,251,250
a_246.png,9,0,4,15,89,0,195,250,251,252
a_247.png,5,1,2,9,180,252,245,153,127,96
a_248.png,6,1,16,14,11,10,6,144,113,124
a_249.png,9,1,7,21,164,255,255,40,45,42
a_250.png,2,6,16,19,0,70,83,228,215,224
a_251.png,7,9,14,4,121,246,204,14,12,10
a_252.png,2,0,6,17,140,95,9,255,255,255
a_253.png,4,7,8,3,0,50,13,97,209,183
a_254.png,8,1,6,8,2,0,8,188,201,227
a_255.png,0,4,6,17,46,39,89,244,246,246
a_256.png,0,1,16,11,0,46,10,249,248,245
a_257.png,0,1,20,23,192,205,250,78,74,70
a_258.png,4,7,14,6,10,1,99,206,213,229
a_259.png,7,4,23,18,21,25,20,187,179,137
a_260.png,8,0,13,6,251,175,200,120,132,149
a_261.png,9,1,7,7,208,193,250,32,13,21
a_262.png,6,5,11,18,255,210,255,72,41,63
a_263.png,5,1,18,20,205,36,9,232,234,239
a_264.png,7,0,17,26,96,120,79,230,235,217
a_265.png,0,1,18,18,255,204,178,65,66,70
a_266.png,7,5,16,18,8,3,5,159,165,138
a_267.png,8,0,19,21,27,0,88,168,177,189
a_268.png,9,1,9,26,143,62,0,222,251,248
a_269.png,5,1,21,13,0,4,0,185,171,176
a_270.png,7,0,5,29,242,18,75,247,250,253
a_271.png,0,1,18,11,131,200,226,117,124,132
a_272.png,9,1,8,8,58,1,50,236,243,247
a_273.png,4,9,27,10,0,68,29,138,181,180
a_274.png,8,0,28,19,17,30,27,226,232,235
a_275.png,2,0,4,23,106,52,31,220,234,241
a_276.png,7,4,25,28,0,110,189,234,224,197
a_277.png,0,1,8,9,0,17,0,127,140,172
a_278.png,2,0,14,26,8,42,127,162,195,231
a_279.png,8,0,11,29,246,251,240,65,92,117
a_280.png,9,1,27,21,136,194,254,0,2,3
a_281.png,8,1,24,10,198,254,215,29,46,71
a_282.png,0,8,8,13,57,10,61,164,158,183
a_283.png,8,9,10,4,67,22,27,228,239,223
a_284.png,9,1,8,13,83,0,0,192,196,195
a_285.png,8,9,20,20,55,13,29,206,203,190
a_286.png,0,9,5,19,0,0,0,226,226,251
a_287.png,1,0,29,26,141,227,185,0,14,10
a_288.png,0,9,21,5,7,0,141,122,129,146
a_289.png,6,1,8,17,17,3,31,227,174,207
a_290.png,9,1,21,27,243,255,130,38,48,51
a_291.png,8,9,28,7,14,188,70,242,246,240
a_292.png,0,1,4,11,98,104,3,206,225,230
a_293.png,1,0,25,4,234,173,212,5,99,81
a_294.png,8,0,17,15,95,0,51,148,146,150
a_295.png,6,4,7,14,100,0,131,184,179,187
a_296.png,4,0,9,10,47,30,48,246,226,205
a_297.png,8,9,28,10,15,35,101,190,156,154
a_298.png,1,9,17,14,16,7,6,251,73,72
a_299.png,0,1,7,16,1,0,49,213,206,175
a_300.png,3,9,18,19,5,12,85,249,250,250
a_301.png,8,1,18,10,255,194,238,50,36,38
a_302.png,1,9,20,24,246,40,21,228,228,228
a_303.png,9,1,7,22,0,28,33,255,250,255
a_304.png,1,0,14,17,80,41,204,228,218,197
a_305.png,3,2,21,21,2,19,74,187,166,149
a_306.png,0,1,22,14,216,204,238,100,81,89
a_307.png,9,1,4,24,42,47,194,253,253,252
a_308.png,3,5,16,17,104,55,255,243,244,245
a_309.png,1,9,24,18,0,156,0,148,184,220
a_310.png,8,9,19,24,61,0,0,230,240,199
a_311.png,8,1,28,21,17,0,41,140,146,140
a_312.png,0,9,18,25,6,88,71,141,161,127
a_313.png,8,9,27,20,81,57,16,204,193,189
a_314.png,9,1,23,17,241,218,220,10,7,13
a_315.png,9,1,3,22,188,243,200,64,82,58
a_316.png,8,9,28,20,236,245,241,6,5,21
a_317.png,9,1,16,12,26,253,33,210,214,216
a_318.png,7,0,24,17,42,27,111,236,246,220
a_319.png,0,1,18,8,1,1,11,230,208,199
a_320.png,8,0,17,19,38,24,10,248,248,250
a_321.png,6,0,14,15,28,28,50,213,211,179
a_322.png,9,1,9,14,20,54,69,218,219,220
a_323.png,8,1,19,6,8,73,135,195,186,185
a_324.png,2,1,14,9,0,0,74,202,230,146
a_325.png,5,7,5,9,7,162,65,205,205,240
a_326.png,8,0,15,16,246,210,219,39,43,35
a_327.png,9,1,6,12,0,24,33,202,199,188
a_328.png,7,9,22,30,34,65,104,169,180,183
a_329.png,2,6,20,7,24,28,63,169,149,158
a_330.png,8,1,20,18,240,247,160,79,96,121
a_331.png,3,0,15,2,85,39,9,251,251,251
a_332.png,8,0,6,15,67,0,167,146,152,145
a_333.png,8,0,9,28,11,2,103,155,167,184
a_334.png,9,1,14,21,29,204,0,250,252,249
a_335.png,8,0,7,14,143,4,25,120,104,146
a_336.png,8,1,27,8,255,254,255,107,98,83
a_337.png,9,1,11,12,38,20,0,135,168,192
a_338.png,8,0,17,22,251,239,104,19,22,18
a_339.png,7,9,11,20,107,0,103,185,188,210
a_340.png,5,9,10,7,7,0,0,203,203,198
a_341.png,2,1,21,16,239,255,255,116,92,54
a_342.png,3,5,10,12,33,171,125,253,253,253
a_343.png,1,9,29,5,245,250,248,133,135,128
a_344.png,0,6,26,8,0,33,17,165,170,142
a_345.png,0,1,5,19,249,219,241,53,93,130
a_346.png,8,0,22,17,164,137,211,78,54,57
a_347.png,0,1,12,17,210,212,239,53,78,138
a_348.png,6,0,13,14,20,0,0,192,168,139
a_349.png,5,8,14,19,125,166,52,250,246,250
a_350.png,1,0,30,6,193,146,255,25,18,13
a_351.png,9,1,12,17,182,249,249,46,51,52
a_352.png,9,1,19,14,245,183,254,37,57,94
a_353.png,8,1,22,9,223,251,224,32,33,43
a_354.png,9,1,14,25,68,40,42,218,216,195
a_355.png,0,1,8,14,20,26,0,102,122,138
a_356.png,6,2,7,22,237,226,220,116,87,82
a_357.png,8,0,24,14,1,48,29,165,171,168
a_358.png,6,1,16,2,0,130,0,234,186,205
a_359.png,9,1,7,14,62,185,12,223,223,223
a_360.png,0,8,2,7,35,12,73,238,250,245
a_361.png,0,1,14,5,48,11,93,177,185,177
a_362.png,7,9,17,1,0,26,2,205,241,212
a_363.png,5,7,21,16,167,63,0,178,170,185
a_364.png,8,9,18,20,7,6,26,155,155,154
a_365.png,9,1,9,15,194,255,103,12,10,13
a_366.png,6,5,14,14,5,24,10,162,148,138
a_367.png,0,3,1,15,0,0,2,199,234,239
a_368.png,7,0,10,27,73,194,134,26,23,40
a_369.png,2,0,20,21,51,32,30,249,246,245
a_370.png,5,7,10,2,44,16,16,202,195,187
a_371.png,6,0,11,18,179,210,255,42,43,17
a_372.png,5,6,20,9,21,15,185,189,184,180
a_373.png,1,9,9,20,255,157,71,2,5,3
a_374.png,8,1,16,7,0,73,0,174,186,205
a_375.png,3,7,28,18,43,0,0,221,222,215
a_376.png,2,9,18,9,20,0,158,242,193,152
a_377.png,9,1,7,6,232,29,39,223,240,244
a_378.png,2,1,22,23,0,26,18,155,158,139
a_379.png,0,1,8,11,17,116,5,183,201,221
a_380.png,7,0,11,13,1,4,22,235,189,157
a_381.png,4,9,27,6,52,0,0,169,166,170
a_382.png,3,5,11,27,40,0,0,9,153,245
a_383.png,9,1,14,9,160,48,85,203,198,194
a_384.png,8,1,26,24,227,244,186,33,39,54
a_385.png,8,1,26,22,22,24,77,182,185,179
a_386.png,9,1,14,17,0,0,79,253,252,251
a_387.png,8,0,22,17,19,1,38,46,45,67
a_388.png,4,1,26,11,87,0,62,255,255,255
a_389.png,9,1,31,15,21,141,51,204,207,217
a_390.png,2,0,6,12,24,27,70,232,233,237
a_391.png,1,8,16,20,11,8,81,220,237,205
a_392.png,9,1,30,15,8,4,11,252,252,253
a_393.png,7,0,16,25,8,33,7,157,188,203
a_394.png,2,0,10,6,22,4,17,178,198,208
a_395.png,2,0,11,25,3,8,5,234,241,234
a_396.png,3,1,14,20,107,0,0,240,234,221
a_397.png,4,7,19,21,51,3,119,239,234,202
a_398.png,8,1,18,11,0,0,78,176,154,148
a_399.png,5,7,22,23,37,12,20,191,174,148
a_400.png,7,9,5,29,149,139,0,145,198,249
a_401.png,6,0,6,28,22,46,125,237,234,226
a_402.png,5,7,16,14,56,42,182,219,217,216
a_403.png,7,4,22,22,94,252,236,122,117,81
a_404.png,8,0,14,8,135,236,254,48,60,66
a_405.png,6,3,30,16,8,16,60,252,251,250
a_406.png,0,1,2,9,1,25,49,172,196,219
a_407.png,9,1,3,5,7,52,35,116,150,220
a_408.png,8,9,20,8,1,2,63,191,197,192
a_409.png,8,0,14,18,159,172,255,19,25,24
a_410.png,0,1,8,11,6,20,4,82,131,184
a_411.png,8,0,24,16,3,16,26,132,153,164
a_412.png,0,8,8,15,103,120,0,171,181,193
a_413.png,9,1,8,14,3,2,5,208,209,208
a_414.png,8,1,21,15,255,247,252,73,34,38
a_415.png,5,3,3,16,63,100,218,196,198,204
a_416.png,5,6,5,12,53,69,86,199,212,204
a_417.png,3,9,21,8,62,18,38,223,190,181
a_418.png,1,9,24,4,251,254,254,74,71,68
a_419.png,3,5,18,12,1,41,8,245,243,228
a_420.png,1,9,21,20,144,114,131,249,250,252
a_421.png,4,1,17,13,53,55,114,244,242,235
a_422.png,0,1,4,14,98,26,99,246,253,255
a_423.png,0,2,4,10,5,12,42,179,220,240
a_424.png,0,9,28,27,22,144,71,157,183,206
a_425.png,8,0,10,29,0,9,73,187,226,255
a_426.png,0,2,30,4,0,0,44,238,236,243
a_427.png,8,1,20,10,156,212,221,21,12,9
a_428.png,5,3,26,24,18,8,6,226,232,237
a_429.png,9,0,29,19,244,72,255,13,16,10
a_430.png,0,7,12,28,157,85,45,135,183,219
a_431.png,9,1,9,17,86,54,16,220,220,220
a_432.png,5,1,17,19,49,7,89,218,192,172
a_433.png,8,1,15,21,0,30,99,123,113,118
a_434.png,8,0,26,13,8,20,147,110,153,146
a_435.png,6,0,21,29,0,12,118,179,188,210
a_436.png,2,9,9,15,0,22,255,240,243,243
a_437.png,3,5,14,14,28,64,47,255,252,252
a_438.png,1,9,10,17,50,11,81,199,199,199
a_439.png,3,5,18,16,19,9,29,252,252,251
a_440.png,0,9,18,26,155,188,255,18,11,24
a_441.png,8,9,28,16,152,1,0,198,171,138
a_442.png,8,0,10,12,30,4,0,248,244,255
a_443.png,6,8,12,20,31,15,36,185,144,114
a_444.png,0,8,21,26,224,246,193,71,77,84
a_445.png,0,1,3,31,138,19,14,255,255,255
a_446.png,1,9,8,16,175,126,232,26,55,23
a_447.png,4,2,10,17,228,179,255,102,60,50
a_448.png,5,9,26,11,255,228,248,51,48,53
a_449.png,9,1,13,12,236,234,253,67,62,59
a_450.png,3,8,16,26,43,11,0,182,161,150
a_451.png,2,0,18,26,87,27,121,173,195,226
a_452.png,6,1,6,18,0,11,108,133,107,86
a_453.png,2,0,12,23,229,197,255,12,14,27
a_454.png,2,6,27,14,15,0,104,201,214,229
a_455.png,0,1,28,28,0,8,99,146,163,108
a_456.png,6,9,27,5,254,221,245,67,68,107
a_457.png,9,1,11,18,232,188,248,136,131,121
a_458.png,2,5,10,4,8,29,166,229,196,163
a_459.png,8,0,19,23,2,0,88,204,226,236
a_460.png,0,9,6,16,32,13,8,198,226,247
a_461.png,8,1,21,20,5,23,65,233,233,229
a_462.png,9,8,11,21,33,119,4,213,203,209
a_463.png,3,5,6,3,2,0,2,215,248,245
a_464.png,7,0,10,25,0,0,42,253,253,253
a_465.png,8,0,28,8,29,10,62,180,160,157
a_466.png,8,0,21,16,221,89,219,20,21,18
a_467.png,8,1,22,21,6,1,0,175,205,229
a_468.png,8,1,22,18,9,2,54,227,194,148
a_469.png,4,5,11,13,0,18,145,234,239,238
a_470.png,5,6,17,19,13,16,76,240,241,240
a_471.png,8,1,21,18,134,246,250,22,19,16
a_472.png,5,0,12,10,0,19,0,243,252,219
a_473.png,7,0,29,15,197,0,0,240,246,240
a_474.png,2,0,12,23,78,11,0,195,224,237
a_475.png,0,8,2,7,0,0,125,232,237,241
a_476.png,0,8,11,6,98,2,128,244,243,225
a_477.png,1,0,29,15,0,9,135,153,161,214
a_478.png,9,1,8,12,9,89,22,170,213,199
a_479.png,2,0,22,23,26,0,68,251,255,252
a_480.png,2,5,6,17,5,11,114,38,69,79
a_481.png,8,1,8,18,230,0,0,109,136,190
a_482.png,2,8,8,16,29,73,194,154,188,236
a_483.png,1,9,18,15,0,102,18,238,244,239
a_484.png,8,9,29,10,0,11,64,120,181,137
a_485.png,9,1,23,13,143,238,218,27,26,42
a_486.png,9,1,12,18,17,77,17,164,169,168
a_487.png,0,1,17,25,175,255,218,123,144,213
a_488.png,5,1,19,20,0,174,6,210,213,210
a_489.png,0,9,6,9,1,11,12,253,253,253
a_490.png,5,6,12,4,31,29,66,236,207,177
a_491.png,2,0,21,24,33,16,246,244,245,243
a_492.png,2,5,6,6,0,20,0,252,239,230
a_493.png,8,0,23,18,216,197,180,26,19,24
a_494.png,0,3,26,9,0,2,5,154,207,235
a_495.png,2,5,10,18,0,0,0,132,155,138
a_496.png,5,1,23,17,13,0,68,172,172,176
a_497.png,0,9,18,10,49,0,57,146,203,235
a_498.png,5,0,6,7,12,126,65,183,180,183
a_499.png,6,1,15,15,4,37,21,204,164,90
a_500.png,9,0,4,9,131,167,234,31,34,33
a_501.png,9,1,28,13,0,6,0,200,204,188
a_502.png,9,1,13,12,58,250,253,88,68,79
a_503.png,9,0,12,21,114,74,5,227,237,246
a_504.png,8,0,6,14,2,7,10,148,181,211
a_505.png,8,0,3,22,0,0,1,228,234,245
a_506.png,8,0,13,3,61,152,14,246,253,242
a_507.png,3,1,10,15,61,39,70,225,222,226
a_508.png,8,0,24,17,248,194,241,62,66,45
a_509.png,9,1,3,4,0,0,152,177,197,229
a_510.png,2,0,20,11,244,246,218,19,29,9
a_511.png,1,8,16,17,244,142,244,60,68,80
a_512.png,3,1,10,16,23,9,51,255,255,255
a_513.png,8,0,23,4,35,0,31,216,220,212
a_514.png,2,1,5,21,244,236,247,83,78,58
a_515.png,5,7,9,16,25,66,154,215,213,233
a_516.png,8,0,13,10,0,0,0,159,169,217
a_517.png,7,5,26,13,0,97,0,205,197,165
a_518.png,2,7,3,20,75,9,62,173,217,244
a_519.png,5,1,14,13,11,163,34,210,210,221
a_520.png,4,7,16,7,39,16,44,243,210,209
a_521.png,6,9,23,9,47,18,115,222,231,224
a_522.png,5,0,22,25,55,31,78,149,153,168
a_523.png,1,9,12,14,158,0,0,171,178,182
a_524.png,8,0,18,12,135,140,241,31,23,22
a_525.png,7,9,2,20,49,88,41,255,255,253
a_526.png,0,1,2,15,67,166,0,239,245,247
a_527.png,0,9,9,5,47,0,146,209,225,243
a_528.png,7,0,6,24,12,22,45,228,247,232
a_529.png,2,0,19,14,67,252,0,223,221,237
a_530.png,9,1,1,3,8,11,5,190,238,250
a_531.png,7,1,13,21,83,86,91,247,231,220
a_532.png,8,1,20,14,195,250,138,136,46,23
a_533.png,6,1,7,19,216,255,255,146,146,119
a_534.png,5,7,24,2,46,17,63,214,219,209
