img,true_label,predicted_class,x,y,g_attack,g_original
b_352.png,2,9,26,8,255,7
b_353.png,3,6,4,11,28,209
b_354.png,2,6,9,3,255,98
b_355.png,0,1,14,19,244,62
b_356.png,5,3,3,2,0,217
b_357.png,2,9,12,10,255,4
b_358.png,5,7,7,11,0,239
b_359.png,3,4,5,21,64,215
b_360.png,5,9,7,19,0,250
b_361.png,4,1,8,26,233,38
b_362.png,0,4,3,10,0,236
b_363.png,5,3,27,10,3,221
b_364.png,5,3,22,17,35,117
b_365.png,1,9,27,22,255,4
b_366.png,9,3,27,1,19,104
b_367.png,3,2,9,24,0,129
b_368.png,4,2,20,26,0,209
b_369.png,6,9,27,16,249,13
b_370.png,5,2,27,5,44,239
b_371.png,4,7,27,11,0,236
b_372.png,0,8,2,17,1,184
b_373.png,6,4,27,25,252,19
b_374.png,0,6,15,11,1,241
b_375.png,5,9,22,22,254,15
b_376.png,1,9,13,9,27,161
b_377.png,8,9,10,9,0,198
b_378.png,6,2,17,27,242,95
b_379.png,4,2,22,19,8,147
b_380.png,4,5,12,13,0,153
b_381.png,0,1,11,25,8,185
b_382.png,8,0,24,10,0,108
b_383.png,3,9,20,12,5,209
b_384.png,3,7,3,12,0,189
b_385.png,1,9,23,21,8,252
b_386.png,2,9,11,19,0,158
b_387.png,6,2,26,10,255,77
b_388.png,6,5,13,18,0,128
b_389.png,7,4,21,2,0,229
b_390.png,1,9,20,18,9,163
b_391.png,8,1,24,20,242,23
b_392.png,0,6,10,25,0,234
b_393.png,1,9,17,13,0,189
b_394.png,0,3,2,22,7,242
b_395.png,1,9,24,12,236,53
b_396.png,4,7,25,23,0,217
b_397.png,5,4,5,16,244,61
b_398.png,8,1,25,20,248,24
b_399.png,0,2,20,12,8,169
b_400.png,0,4,23,3,1,104
b_401.png,6,4,26,26,240,50
b_402.png,1,3,9,22,0,124
b_403.png,3,1,19,18,4,213
b_404.png,2,0,6,7,0,232
b_405.png,3,6,15,27,48,238
b_406.png,3,9,26,10,255,52
b_407.png,6,5,12,15,17,194
b_408.png,0,4,19,24,4,140
b_409.png,1,9,13,16,4,255
b_410.png,9,1,26,16,255,106
b_411.png,9,2,20,18,254,11
b_412.png,2,3,11,12,0,246
b_413.png,2,4,18,18,203,19
b_414.png,8,9,19,17,0,106
b_415.png,3,6,16,15,255,9
b_416.png,1,9,11,19,26,163
b_417.png,0,9,5,19,0,140
b_418.png,7,2,15,19,0,201
b_419.png,4,1,23,27,9,208
b_420.png,0,4,7,12,15,229
b_421.png,1,9,17,17,23,186
b_422.png,7,1,17,13,252,60
b_423.png,6,2,10,19,255,19
b_424.png,0,1,9,9,10,214
b_425.png,3,6,8,23,5,236
b_426.png,4,1,17,12,14,214
b_427.png,6,2,10,11,0,143
b_428.png,5,3,11,14,9,183
b_429.png,8,9,23,12,240,29
b_430.png,2,3,21,26,255,62
b_431.png,3,5,27,9,29,137
b_432.png,7,3,3,27,0,220
b_433.png,2,3,5,16,212,63
b_434.png,6,3,3,11,0,229
b_435.png,7,4,25,15,5,223
b_436.png,3,5,12,5,0,157
b_437.png,5,3,27,25,5,229
b_438.png,0,1,10,13,255,97
b_439.png,4,7,24,13,0,169
b_440.png,2,9,24,17,0,151
b_441.png,5,7,19,15,46,246
b_442.png,0,3,2,8,14,210
b_443.png,7,9,13,14,26,228
b_444.png,7,4,5,19,250,87
b_445.png,2,0,20,5,0,220
b_446.png,6,2,7,17,17,129
b_447.png,2,9,17,27,0,182
b_448.png,1,9,13,16,15,240
b_449.png,9,6,26,15,0,243
b_450.png,1,5,27,7,41,238
b_451.png,7,6,9,7,14,223
b_452.png,8,1,26,17,0,169
b_453.png,7,9,20,20,255,35
b_454.png,0,2,2,8,30,143
b_455.png,1,9,17,18,0,181
b_456.png,3,9,12,9,252,3
b_457.png,8,9,24,17,0,156
b_458.png,3,6,24,17,0,188
b_459.png,0,3,4,5,0,224
b_460.png,3,7,3,11,5,215
b_461.png,0,3,6,15,0,239
b_462.png,3,6,6,23,9,183
b_463.png,7,0,3,20,0,244
b_464.png,4,9,16,3,0,153
b_465.png,2,0,21,10,0,247
b_466.png,1,9,17,14,0,240
b_467.png,5,7,19,6,0,186
b_468.png,3,6,23,13,7,226
b_469.png,1,9,13,15,8,218
b_470.png,7,5,27,19,0,221
b_471.png,8,1,24,12,15,76
b_472.png,3,5,7,24,10,237
b_473.png,2,6,17,5,255,42
b_474.png,1,9,15,18,0,241
b_475.png,0,1,27,7,255,85
b_476.png,1,9,18,14,7,122
b_477.png,1,9,11,13,1,227
b_478.png,3,6,23,13,9,189
b_479.png,6,9,27,25,255,29
b_480.png,0,4,6,19,28,228
b_481.png,3,5,11,16,51,245
b_482.png,7,9,20,18,10,170
b_483.png,0,1,27,18,254,47
b_484.png,7,1,25,26,7,243
b_485.png,5,3,5,16,7,248
b_486.png,7,5,5,5,0,244
b_487.png,4,9,11,11,243,78
b_488.png,8,6,2,7,5,202
b_489.png,8,3,24,19,0,206
b_490.png,0,3,2,10,9,209
b_491.png,7,2,22,5,26,207
b_492.png,0,2,3,6,24,160
b_493.png,3,4,27,6,240,41
b_494.png,9,1,6,18,1,103
b_495.png,3,5,27,27,128,226
b_496.png,7,9,8,7,0,255
b_497.png,4,1,3,4,0,208
b_498.png,7,5,17,5,1,218
b_499.png,9,3,27,10,0,244
b_500.png,0,9,2,17,7,255
b_501.png,4,6,14,20,37,198
b_502.png,5,4,17,13,0,136
b_503.png,8,0,27,17,0,89
b_504.png,9,1,17,25,19,209
b_505.png,2,4,10,23,0,128
b_506.png,0,3,3,17,0,176
b_507.png,5,2,19,19,2,200
b_508.png,5,3,5,13,6,200
b_509.png,8,9,22,18,242,6
b_510.png,3,1,18,14,255,26
b_511.png,2,0,11,25,0,248
b_512.png,3,9,24,15,0,178
b_513.png,5,2,25,27,15,198
b_514.png,1,9,26,10,252,8
b_515.png,1,9,13,9,22,226
b_516.png,0,9,5,21,15,244
b_517.png,1,9,15,18,0,255
b_518.png,5,9,13,13,233,17
b_519.png,0,8,15,1,21,233
b_520.png,0,2,4,4,0,213
b_521.png,7,9,23,9,0,243
b_522.png,4,3,16,11,213,12
b_523.png,0,7,19,25,0,153
b_524.png,1,9,14,17,0,230
b_525.png,0,9,19,19,2,222
b_526.png,4,2,16,12,24,128
b_527.png,2,6,23,20,0,198
b_528.png,7,9,22,26,255,103
b_529.png,8,1,26,14,249,6
b_530.png,8,1,27,18,2,244
b_531.png,7,4,11,13,255,51
b_532.png,3,5,9,19,255,30
b_533.png,2,4,15,11,17,199
b_534.png,0,2,23,17,12,148
b_535.png,0,1,19,27,0,235
b_536.png,9,0,27,14,4,254
b_537.png,7,5,21,26,255,149
b_538.png,8,1,26,16,255,25
b_539.png,9,1,5,27,3,252
b_540.png,0,9,5,20,0,250
b_541.png,0,9,2,20,0,178
b_542.png,6,9,14,14,15,180
b_543.png,4,9,26,3,7,202
b_544.png,6,9,20,2,0,252
b_545.png,0,1,24,16,255,51
b_546.png,5,1,19,14,18,224
b_547.png,3,4,27,13,29,223
b_548.png,1,9,13,15,255,30
b_549.png,1,9,26,8,255,43
b_550.png,3,5,5,7,234,6
b_551.png,9,3,27,21,3,226
b_552.png,4,2,10,5,245,39
b_553.png,1,6,24,10,12,142
b_554.png,7,9,23,4,42,223
b_555.png,2,9,27,5,255,55
b_556.png,7,5,7,25,26,189
b_557.png,6,2,12,15,0,153
b_558.png,5,9,27,4,6,233
b_559.png,6,5,2,15,0,252
b_560.png,0,5,4,15,0,171
b_561.png,6,9,17,17,12,176
b_562.png,2,9,16,17,0,132
b_563.png,3,7,20,11,0,203
b_564.png,2,9,2,17,8,169
b_565.png,4,9,25,27,0,108
b_566.png,3,9,19,26,0,255
b_567.png,2,1,16,17,254,4
b_568.png,6,4,13,14,255,120
b_569.png,6,9,27,5,239,2
b_570.png,1,9,14,15,17,225
b_571.png,2,4,23,17,21,246
b_572.png,0,3,10,19,255,89
b_573.png,3,1,9,9,0,162
b_574.png,2,5,13,19,16,229
b_575.png,8,1,24,16,0,176
b_576.png,4,2,8,15,255,3
b_577.png,8,1,22,16,234,24
b_578.png,6,4,26,15,245,36
b_579.png,4,5,9,21,0,251
b_580.png,5,2,5,13,0,187
b_581.png,3,7,12,6,43,216
b_582.png,8,0,25,17,0,79
b_583.png,3,6,17,27,15,172
b_584.png,3,6,23,22,0,197
b_585.png,7,0,27,6,12,177
b_586.png,4,0,10,7,255,9
b_587.png,5,9,7,18,5,225
b_588.png,4,9,25,7,9,96
b_589.png,5,9,3,12,7,252
b_590.png,0,1,25,13,255,66
b_591.png,8,1,10,17,0,185
b_592.png,2,7,23,24,240,5
b_593.png,8,1,21,10,255,26
b_594.png,4,2,5,2,16,199
b_595.png,9,1,17,23,42,237
b_596.png,3,2,24,18,0,181
b_597.png,2,7,18,11,0,156
b_598.png,4,1,20,2,4,210
b_599.png,9,1,24,17,0,102
b_600.png,5,3,18,11,0,225
b_601.png,0,8,3,21,2,180
b_602.png,1,9,15,21,41,228
b_603.png,8,1,22,22,19,192
b_604.png,5,3,26,16,255,44
b_605.png,0,1,24,6,243,90
b_606.png,3,5,7,4,0,245
b_607.png,2,5,21,27,0,222
b_608.png,6,3,10,11,0,137
b_609.png,6,2,12,16,14,70
b_610.png,1,9,14,12,230,79
b_611.png,0,4,3,10,0,227
b_612.png,5,9,7,12,3,219
b_613.png,7,9,24,23,0,157
b_614.png,8,0,16,25,0,240
b_615.png,2,9,25,6,0,139
b_616.png,2,9,10,12,255,23
b_617.png,0,9,2,5,7,242
b_618.png,9,0,25,19,27,159
b_619.png,8,0,27,17,0,102
b_620.png,6,9,12,10,255,48
b_621.png,5,9,26,24,19,159
b_622.png,7,9,26,19,32,166
b_623.png,2,3,23,15,14,169
b_624.png,4,7,13,19,8,243
b_625.png,7,9,15,14,217,24
b_626.png,3,0,12,25,0,238
b_627.png,3,5,9,2,0,162
b_628.png,6,9,18,13,244,107
b_629.png,0,1,27,16,254,42
b_630.png,4,3,27,7,18,212
b_631.png,7,5,7,27,5,232
b_632.png,0,9,13,14,255,25
b_633.png,1,9,19,21,254,75
b_634.png,5,1,5,9,11,217
b_635.png,8,9,19,17,11,228
b_636.png,6,9,24,17,222,118
b_637.png,4,2,4,25,255,69
b_638.png,9,1,26,16,10,145
b_639.png,2,4,24,24,3,141
b_640.png,4,6,23,14,13,206
b_641.png,7,4,12,25,74,234
b_642.png,2,1,12,9,255,6
b_643.png,7,2,9,7,45,214
b_644.png,0,2,23,18,38,196
b_645.png,4,1,17,19,0,252
b_646.png,2,6,13,2,254,36
b_647.png,1,9,15,12,51,225
b_648.png,4,7,12,13,12,222
b_649.png,7,0,17,27,0,189
b_650.png,0,9,9,15,5,135
b_651.png,4,9,10,9,0,188
b_652.png,5,2,20,11,0,196
b_653.png,1,9,10,12,6,171
b_654.png,9,1,23,20,227,48
b_655.png,3,7,9,5,11,166
b_656.png,5,9,19,27,35,246
b_657.png,1,9,20,8,239,51
b_658.png,6,0,15,4,255,58
b_659.png,0,3,2,24,5,253
b_660.png,3,5,12,1,0,228
b_661.png,7,9,20,10,5,184
b_662.png,9,1,21,5,253,13
b_663.png,2,7,2,11,0,189
b_664.png,1,9,20,7,224,26
b_665.png,6,9,27,8,208,31
b_666.png,9,1,9,5,0,255
b_667.png,3,7,19,9,0,152
b_668.png,2,4,10,11,1,182
b_669.png,6,9,13,16,237,100
b_670.png,4,7,13,22,0,239
b_671.png,9,1,24,16,0,197
b_672.png,5,7,19,18,15,207
b_673.png,5,6,4,10,4,202
b_674.png,0,9,9,15,3,212
b_675.png,2,3,6,16,0,167
b_676.png,5,1,9,15,25,163
b_677.png,2,7,16,24,255,49
b_678.png,5,3,26,21,0,251
b_679.png,0,9,2,6,24,229
b_680.png,0,1,6,15,0,242
b_681.png,0,1,8,11,0,184
b_682.png,2,3,21,27,2,141
b_683.png,5,9,26,18,255,11
b_684.png,7,9,17,15,252,1
b_685.png,1,9,21,14,0,231
b_686.png,1,9,19,10,255,47
b_687.png,4,3,26,20,4,145
b_688.png,7,0,13,5,0,183
b_689.png,7,9,9,21,0,251
b_690.png,0,7,25,9,15,255
b_691.png,7,5,3,23,31,195
b_692.png,0,1,22,16,254,48
b_693.png,3,9,27,23,255,46
b_694.png,0,9,2,11,0,179
b_695.png,7,5,12,14,250,67
b_696.png,7,9,23,3,0,240
b_697.png,4,5,13,20,255,60
b_698.png,2,9,26,6,0,203
b_699.png,6,1,26,16,254,50
b_700.png,2,4,26,11,207,35
b_701.png,3,9,27,13,255,20
b_702.png,9,1,25,23,8,247
b_703.png,1,9,23,9,18,196
b_704.png,8,0,23,18,255,39
b_705.png,4,1,15,5,0,105
b_706.png,0,9,21,17,6,164
b_707.png,0,1,10,13,0,227
b_708.png,1,9,23,11,255,26
b_709.png,8,9,27,19,239,17
b_710.png,6,2,12,14,0,108
b_711.png,1,9,23,9,0,222
b_712.png,3,9,14,12,255,16
b_713.png,2,9,18,3,23,152
b_714.png,8,0,22,17,0,120
b_715.png,1,9,22,15,0,74
b_716.png,1,9,16,13,0,230
b_717.png,1,9,17,19,53,248
b_718.png,1,9,20,22,234,37
b_719.png,6,5,10,15,0,200
b_720.png,3,9,24,23,255,110
b_721.png,7,2,22,25,0,224
b_722.png,9,1,14,13,255,32
b_723.png,1,9,23,26,0,249
b_724.png,6,1,26,27,217,92
b_725.png,1,9,7,16,255,80
b_726.png,9,1,25,14,240,34
b_727.png,6,5,4,26,241,79
b_728.png,1,9,13,11,232,95
b_729.png,4,7,23,23,0,230
b_730.png,9,1,8,2,255,10
b_731.png,3,9,19,26,6,223
b_732.png,9,3,27,8,227,110
b_733.png,3,5,11,27,0,253
b_734.png,5,0,18,3,0,230
b_735.png,0,2,26,12,8,187
b_736.png,3,6,18,7,242,8
b_737.png,7,4,9,11,0,220
b_738.png,2,5,13,27,28,243
b_739.png,3,0,13,20,5,193
b_740.png,8,9,18,22,233,1
b_741.png,6,1,21,26,14,214
b_742.png,3,6,6,14,224,97
b_743.png,4,6,10,5,243,51
b_744.png,5,3,17,21,19,108
b_745.png,5,3,3,1,2,158
b_746.png,6,2,27,22,13,201
b_747.png,1,9,15,21,248,22
b_748.png,6,1,12,15,6,123
b_749.png,4,7,17,10,0,111
b_750.png,6,5,15,15,5,96
b_751.png,5,4,2,2,0,253
b_752.png,6,3,27,25,90,252
b_753.png,4,9,11,15,0,127
b_754.png,3,9,25,21,0,180
b_755.png,4,2,15,24,9,144
b_756.png,0,4,5,8,255,88
b_757.png,5,3,11,5,27,198
b_758.png,4,9,23,2,46,240
b_759.png,4,2,24,3,3,171
b_760.png,1,9,18,23,1,212
b_761.png,3,4,17,16,255,1
b_762.png,5,1,20,24,253,84
b_763.png,2,0,17,27,0,206
b_764.png,4,2,11,25,7,93
b_765.png,2,9,15,17,0,219
b_766.png,1,9,25,21,28,237
b_767.png,6,7,27,13,0,220
b_768.png,0,9,6,6,5,235
b_769.png,5,3,25,22,22,249
b_770.png,7,9,14,14,0,247
b_771.png,5,3,5,2,23,163
b_772.png,7,0,1,18,255,4
b_773.png,7,5,4,22,17,227
b_774.png,5,4,19,16,32,251
